colsample_bytree,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,model,MSE,R2,Accuracy
0.9,0.2,6,3,100,0.5,1.0,0.9,XGBoost,0.02640134215596385,0.6194260662532751,0.717391304347826
0.9,0.2,6,3,200,0.5,1.0,0.9,XGBoost,0.026399255976647384,0.6192824390495585,0.717391304347826
0.9,0.2,6,3,300,0.5,1.0,0.9,XGBoost,0.026418306435928057,0.618767323375984,0.717391304347826
0.7,0.2,6,1,100,0.0,1.0,0.7,XGBoost,0.026819340825194597,0.6177516793720621,0.717391304347826
0.7,0.2,6,1,200,0.0,1.0,0.7,XGBoost,0.026866315053230238,0.617108313240618,0.717391304347826
0.7,0.2,6,1,300,0.0,1.0,0.7,XGBoost,0.02687364085913153,0.617015794879893,0.717391304347826
0.9,0.2,5,3,200,0.5,2.0,0.9,XGBoost,0.02700422117330581,0.6163427015728923,0.717391304347826
0.9,0.2,6,3,100,0.5,2.0,0.9,XGBoost,0.02676227136159687,0.6163160070563611,0.717391304347826
0.9,0.2,3,1,100,0.5,2.0,0.7,XGBoost,0.026743747534935865,0.6159463245897807,0.717391304347826
0.9,0.2,5,3,300,0.5,2.0,0.9,XGBoost,0.027078371005704073,0.6153864663563287,0.717391304347826
0.9,0.2,6,3,200,0.5,2.0,0.9,XGBoost,0.026879539888489016,0.6148756950130237,0.717391304347826
0.7,0.2,3,3,300,0.5,1.0,0.7,XGBoost,0.026953268269212304,0.614410714154251,0.717391304347826
0.9,0.2,6,3,300,0.5,2.0,0.9,XGBoost,0.026956201560370683,0.6137754280345886,0.717391304347826
0.9,0.2,3,3,100,0.5,2.0,0.7,XGBoost,0.02689432428146183,0.6133693820384883,0.717391304347826
0.9,0.2,5,1,100,0.0,2.0,0.9,XGBoost,0.027032892180724487,0.6133223285664247,0.717391304347826
0.9,0.2,5,1,300,0.5,1.0,0.9,XGBoost,0.027261869945165565,0.6132991767757698,0.717391304347826
0.9,0.2,5,1,200,0.5,1.0,0.9,XGBoost,0.027297821224138957,0.6131026729147576,0.717391304347826
0.9,0.2,5,1,300,0.0,2.0,0.7,XGBoost,0.027319088360750386,0.6090747814829278,0.717391304347826
0.9,0.2,3,1,100,0.5,1.0,0.7,XGBoost,0.027308240030998226,0.6072981170916787,0.717391304347826
0.9,0.2,3,3,100,0.0,1.0,0.7,XGBoost,0.027754364286550058,0.6064282292825596,0.717391304347826
0.9,0.2,3,1,100,0.0,1.0,0.7,XGBoost,0.02793317814207161,0.5990215828840674,0.717391304347826
0.9,0.2,3,1,200,0.5,1.0,0.7,XGBoost,0.02830090052955558,0.5947309315204636,0.717391304347826
0.9,0.2,3,1,300,0.5,1.0,0.7,XGBoost,0.028348328927970047,0.5933182458173754,0.717391304347826
0.9,0.2,3,3,200,0.0,1.0,0.7,XGBoost,0.029349808293965492,0.5845912501866858,0.717391304347826
0.9,0.2,3,3,300,0.0,1.0,0.7,XGBoost,0.02999569328937214,0.5756453220978035,0.717391304347826
0.7,0.05,5,1,100,0.0,1.0,0.7,XGBoost,0.02413877601752201,0.6496218265352575,0.6956521739130435
0.7,0.1,5,3,100,0.5,1.0,0.9,XGBoost,0.024455992884822007,0.6476343170565171,0.6956521739130435
